nodes,arrival_rate,collision_rate,delay,queue_variance,throughput_value,protocol_name,optimal_protocol_id
10,1,0.0,0.05938293734520304,0.5631876507380853,18.0,SlottedAlohaProtocol,2.0
10,1,0.8666666666666667,0.025570666142114583,2.9695944262466885,109.0,SlottedAlohaProtocol,2.0
10,1,0.0,0.09657108441084032,1.225330939868085,63.0,SlottedAlohaProtocol,2.0
10,1,0.0,0.05938293734520304,0.5631876507380853,18.0,CSMACaProtocol,2.0
10,1,0.47368421052631576,0.025331427717011315,2.7600735129506737,144.0,CSMACaProtocol,2.0
10,1,0.0,0.09657108441084032,1.225330939868085,63.0,CSMACaProtocol,2.0
10,5,1.8888888888888888,0.06366581754247957,2.2320551568769718,86.0,SlottedAlohaProtocol,2.0
10,5,1.6666666666666667,0.03297646360785754,4.287851745233432,178.0,SlottedAlohaProtocol,2.0
10,5,1.2777777777777777,0.025469289291315915,3.527444486360938,215.0,SlottedAlohaProtocol,2.0
10,5,0.782608695652174,0.06942208407601501,4.983160277091077,163.0,CSMACaProtocol,2.0
10,5,0.9310344827586207,0.09848953600677918,1.7461144908524144,354.0,CSMACaProtocol,2.0
10,5,0.75,0.05002277096077271,1.6285134282852072,253.0,CSMACaProtocol,2.0
10,10,1.7804878048780488,0.014071066107905112,3.082397165551251,181.0,SlottedAlohaProtocol,2.0
10,10,2.0,0.022181137965590767,2.9802671333114743,97.0,SlottedAlohaProtocol,2.0
10,10,1.651685393258427,0.08565505184069568,3.526572895901447,138.0,SlottedAlohaProtocol,2.0
10,10,1.3243243243243243,0.06417700361122927,0.8672883810918561,185.0,CSMACaProtocol,2.0
10,10,0.7105263157894737,0.04450745734720505,2.589640890984306,202.0,CSMACaProtocol,2.0
10,10,1.238532110091743,0.09026299065429076,2.4337370729060193,229.0,CSMACaProtocol,2.0
10,15,1.5824175824175823,0.0887514698332244,4.155867195636915,122.0,SlottedAlohaProtocol,2.0
10,15,1.5069444444444444,0.062108689268537555,3.1818314300045194,73.0,SlottedAlohaProtocol,2.0
10,15,1.1642857142857144,0.030249899238026928,3.2956206302750157,66.0,SlottedAlohaProtocol,2.0
10,15,1.2077922077922079,0.09273541180614524,4.830091189296886,300.0,CSMACaProtocol,2.0
10,15,0.9809523809523809,0.0696714569648824,2.2536586745390474,347.0,CSMACaProtocol,2.0
10,15,0.8285714285714286,0.07032742729945993,3.5033491965520303,222.0,CSMACaProtocol,2.0
10,20,1.5258620689655173,0.04352043366750304,2.9206795267931924,107.0,SlottedAlohaProtocol,2.0
10,20,0.9420289855072463,0.06937456206825843,3.6518349488752873,50.0,SlottedAlohaProtocol,2.0
10,20,1.0119047619047619,0.024631313047956176,2.217485386619946,71.0,SlottedAlohaProtocol,2.0
